x,y,type
9.3,1.14539051781877,point
9.3,1.02251695779087,point
9.3,2.34168977942762,point
9.3,1.79864365059653,point
9.3,0.109233235530675,point
9.3,0.627402325114337,point
9.3,2.76150017210353,point
9.3,1.07595014795904,point
9.3,2.10150216874165,point
9.3,0.678699340998011,point
9.3,0.316764404125429,point
9.3,0.377249267857429,point
9.3,0.321664923309927,point
9.3,2.16623018084466,point
9.3,1.89806126946062,point
9.3,0.846651366909475,point
9.3,0,point
9.3,2.15615388166971,point
9.3,1.30647224070458,point
9.3,1.66865016388057,point
9.3,0.773040117372665,point
9.3,2.20077426069538,point
9.3,0.766894481947487,point
9.3,1.91987014925839,point
9.3,1.351577449462,point
9.3,1.47306993090722,point
9.3,2.57389314413745,point
9.4,1.86855244463518,point
9.4,0.575143845052772,point
9.4,0.912446762056517,point
9.4,2.70749166065758,point
9.4,1.01107335974431,point
9.4,1.1963615384487,point
9.4,0.949126998848157,point
9.4,0.959384395970781,point
9.4,0.795079509373883,point
9.4,2.30704375520973,point
9.4,0.416526313440446,point
9.4,0.806180502607133,point
9.4,0.371214247336358,point
9.4,0.402982973328609,point
9.4,0.309496362711588,point
9.4,2.31073564406214,point
9.4,2.96654859512434,point
9.4,2.6273546946336,point
9.4,1.99770790178788,point
9.4,0.448858673747921,point
9.4,1.73044867067335,point
9.4,0.47473817931894,point
9.4,0.574736105863527,point
9.4,1.31975086872427,point
9.4,0.867948637226075,point
9.5,0.912656762227525,point
9.5,1.61753358347542,point
9.5,0.841640677251459,point
9.5,2.53998509908188,point
9.5,0.939607985656804,point
9.5,1.9583341632028,point
9.5,0.677577697423234,point
9.5,1.42424491040551,point
9.5,1.46116181477618,point
9.5,0.501970010207483,point
9.5,1.80753627803489,point
9.5,1.07944296906513,point
9.5,0.555677767471676,point
9.5,0.269947561178652,point
9.5,0.252539188745751,point
9.5,0.0778173643819582,point
9.5,0.438632457153375,point
9.5,0.486225240955873,point
9.5,1.64493146238538,point
9.5,0.967038722234789,point
9.5,0.379694148418175,point
9.5,2.23547893171112,point
9.6,1.00350869232321,point
9.6,1.97226253812449,point
9.6,2.01962364033177,point
